LINEAR ALGEBRA- PROBLEM LOG,,,,,,,
Enter problems below. Difficulty is pre-filled but editable. Problem_ID format: CALC-E-01 | PROB-M-05 | LA-H-12,,,,,,,
Problem_ID,Source,Problem Statement,Correct Answer,Difficulty,Topic,Subtopic,Notes / Edge Case
  EASY PROBLEMS,,,,,,,
LA-E-01,MIT OpenCourseWare,"Find a combination x₁w₁ + x₂w₂ + x₃w₃ that gives the zero vector where w₁=[1,2,3], w₂=[4,5,6], w₃=[7,8,9]. Are these vectors independent or dependent?
",w₁ − 2w₂ + w₃ = 0. The vectors are dependent and lie in a plane.,Easy,Linear Algebra,Linear Combinations and Dependence,"Models may state ""dependent"" without showing the actual combination "
LA-E-02,MIT OpenCourseWare,"(a) Find a 3 by 3 permutation matrix with P 3 = I (but not P = I). 
(b) Find a 4 by 4 permutation Pwith P4 = I. ","Correct Answer: P = [[0,0,1],[1,0,0],[0,1,0]], cycling rows so P³ = I. (b) Let P be the block diagonal matrix with 1 and P on the diagonal: P = ( 
0 P 
). Since 
P 3 = I, also P3 = I. So P4 = P<>I. ",Easy,Linear Algebra,Permutation matrices,Models may give P² = I instead — wrong cycle length; must verify P³ = I explicitly
LA-E-03,MIT OpenCourseWare," Problem 18: True or false (check addition or give a counterexample): 
(a) The symmetric matrices in M (with AT = A) form a subspace. 
(b) The skew-symmetric matrices in M (with AT = −A) form a subspace. 
(c) The unsymmetric matrices in M (with AT<>A) form a subspace. ","(a) True: AT = A and BT = B lead to (A + B)T = AT + BT = A + B. 
(b) True: AT = −A and BT = −B lead to (A + B)T = AT + BT = −A − B = −(A + B). 
1 1 
(c) False: ( 
0 0 
) + ( 
1 1 
) = ( 
1 1 
).",Easy,Linear Algebra,Symmetric matrices and subspaces,Models may answer correctly but skip justification for scalar multiplication
LA-E-04,MIT OpenCourseWare," Suppose A and B are n by n matrices, and AB = I. Prove from rank(AB) ≤
rank(A) that the rank of A is n. So A is invertible and B must be its two-sided inverse (Section 2.5). 
Therefore BA = I (which is not so obvious!).","n = rank(I) = rank(AB) ≤ rank(A) ≤ n, so rank(A) = n and A is invertible.
",Easy,Linear Algebra,Rank and Invertibility,Models often prove rank = n but forget to conclude invertibility 
LA-E-05,MIT OpenCourseWare,"
Start with u₀=(1,0). Multiply repeatedly by Markov matrix A=[[0.8,0.3],[0.2,0.7]]. Find u₁, u₂, u₃ and state what property all four vectors share.
","u₁=[0.8,0.2], u₂=[0.7,0.3], u₃=[0.65,0.35]. All vectors have components that sum to one.
",Easy,Linear Algebra,Markov Matrices and Steady State,
LA-E-06,MIT OpenCourseWare," If P 2 = P show that (I − P )2 = I − P . When P projects onto the 
column space of A, I − P projects onto the . ",(I−P)² = I−2P+P² = I−P. I−P projects onto the left nullspace of A.,Easy,Linear Algebra,Projection Matrices,
LA-E-07,MIT OpenCourseWare," If the entries in every row of A add to zero, solve 
Ax = 0 to prove det A = 0. If those entries add to one, show that det(A − I) = 0. 
Does this mean det A = I? ","Rows summing to zero means x=(1,1,...,1) solves Ax=0 so det A=0. Rows of A−I sum to zero so det(A−I)=0.",Easy,Linear Algebra,Determinants and Singular Matrices,
LA-E-08,MIT OpenCourseWare,"Suppose you solve Ax=b for three special right sides: Ax₁=[1,0,0], Ax₂=[0,1,0], Ax₃=[0,0,1]. If x₁, x₂, x₃ are columns of matrix X, what is AX?
","AX = I. X is the inverse of A.
",Easy,Linear Algebra,Matrix Inverse,
LA-E-09,MIT OpenCourseWare,"Problem Set 1 Section 2.5, Problem 7
If A has row 1 + row 2 = row 3, show that A is not invertible by: (a) explaining why Ax=(1,0,0) cannot have a solution, (b) finding which right sides (b₁,b₂,b₃) might allow a solution, (c) stating what happens to row 3 during elimination.
","(a) A₁·x+A₂·x=A₃·x means 1+0=0 — contradiction. (b) b₁+b₂=b₃ must hold. (c) Row 3 becomes zero during elimination.

",Easy,Linear Algebra,"Singular Matrices and Elimination
",
